university,adoption_type,year,month,date_raw,date,order,coords
Snow College,Affirmed by Faculty Senate,2020,4,April 2020,April 2020,72,"39.36111172300008, -111.58154268499999"
University of Alabama System,Affirmed by Board of Trustees,2020,6,June 2020,June 2020,73,"33.21439965800005, -87.54576646699996"
Jacksonville State University,Affirmed by Board of Trustees,2020,6,June 2020,June 2020,74,"33.822163525000065, -85.76640599199999"
Colorado Mesa University,Affirmed by Board of Trustees,2020,8,August 2020,August 2020,75,"39.07784236700007, -108.55351779199998"
Winthrop University,Affirmed by Board of Trustees,2020,8,August 2020,August 2020,76,"34.938394, -81.029884"
Jones County Junior College,Officially Adopted,2020,8,August 2020,August 2020,77,"31.597161606000043, -89.19969388399994"
Boston University,Affirmed by Board of Trustees,2020,10,October 2020,October 2020,78,"42.349581, -71.09984"
University of Richmond,Officially Adopted,2020,12,December 2020,December 2020,79,"37.57739933300007, -77.53879717799998"
Kansas Board of Regents,Affirmed by Board of Regents,2021,3,March 2021,March 2021,80,"39.188616, -96.581077"
University of Virginia,Affirmed by Board of Visitors,2021,6,June 2021,June 2021,81,"38.033977, -78.511845"
Bowling Green State University,Officially adopted,2021,7,July 2021,July 2021,82,"41.377036, -83.637531"
St. Mary's University,Affirmed by Faculty Senate,2021,9,September 2021,September 2021,83,"29.453134829000078, -98.56128970299994"
King University,Officially Adopted,2022,2,February 2022,February 2022,84,"36.585989142000074, -82.15650934299998"
University of Massachusetts Boston,Affirmed by the College of Science and Mathematics Faculty Senate,2022,4,April 2022,April 2022,85,"42.31433172700008, -71.03981377299993"
Northwood University,Officially Adopted,2022,4,April 2022,April 2022,86,"43.62899564400004, -84.27627593099999"
Northern Arizona University,Officially Adopted,2022,5,May 2022,May 2022,87,"35.18887521100004, -111.65555907399994"
DePauw University,Officially Adopted,2022,5,May 2022,May 2022,88,"39.639530250000064, -86.86355648799997"
Wright State University,Affirmed by the Board of Trustees,2022,6,June 2022,June 2022,89,"39.78063402200007, -84.06488143699994"
Youngstown State University,Affirmed by the Board of Trustees,2022,6,June 2022,June 2022,90,"41.10589397500007, -80.64688780099993"
University of Cincinnati,Officially Adopted,2022,7,July 2022,July 2022,91,"39.13115854200004, -84.51428019599996"
Shawnee State University,Affirmed by the Board of Trustees,2022,7,July 2022,July 2022,92,"38.730909068000074, -82.99535656299997"
Ohio State University,Affirmed by the Board of Trustees,2022,8,August 2022,August 2022,93,"39.999493432000065, -83.00879178799994"
Wheaton College,Officially Adopted,2022,11,November 2022,November 2022,94,"41.966813056000035, -71.18416688299999"
University of Texas System,Affirmed by the Board of Regents,2022,11,November 2022,November 2022,95,"30.283809, -97.736463"
University of Oklahoma,Affirmed by the Board of Regents,2022,11,November 2022,November 2022,96,"35.20806902500004, -97.44569235199998"
Massachusetts Institute of Technology,Affirmed by Faculty Governance,2022,12,December 2022,December 2022,97,"42.36009534400006, -71.09211458099998"
Glendale Community College,Affirmed by the Faculty Senate,2023,1,January 2023,January 2023,98,"34.16642157200005, -118.22825118199995"
Clemson University,Affirmed by the Board of Trustees,2023,2,February 2023,February 2023,99,"34.677329, -82.834463"
Davidson College,Officially Adopted,2023,3,March 2023,March 2023,100,"35.50000638400007, -80.84523582799994"
University of Southern Mississippi,Affirmed by the Faculty Senate,2023,3,March 2023,March 2023,101,"31.327499, -89.33791"
Virginia Tech,Affirmed by the Board of Visitors,2023,3,March 2023,March 2023,102,"37.22990640100005, -80.41998783299994"
University of South Carolina,Affirmed by the Board of Trustees,2023,6,June 2023,June 2023,103,"33.996677, -81.026916"
University of Tulsa,Officially Adopted,2023,9,September 2023,September 2023,104,"36.15188744300008, -95.94517524299994"
University of Wyoming,Officially Adopted,2023,12,December 2023,December 2023,105,"41.311943, -105.57204"
University of Michigan,Affirmed by the Board of Regents,2024,1,January 2024,January 2024,106,"42.27803, -83.736564"
Furman University,Officially Adopted,2024,2,February 2024,February 2024,107,"34.924725729000045, -82.43930293199998"
Emory University,Affirmed by the Emory College of Arts and Sciences Faculty Senate,2024,2,February 2024,February 2024,108,"33.79326806100005, -84.32581769199999"
Syracuse University,Officially Adopted,2024,5,May 2024,May 2024,109,"43.039891, -76.13267"
Stanford University,Affirmed by the Faculty Senate,2024,5,May 2024,May 2024,110,"37.43297380200005, -122.17504506299997"
Northwestern University,Officially Adopted,2024,8,August 2024,August 2024,111,"42.058377171000075, -87.67365284099998"
Boise State University,Officially Adopted,2024,12,December 2024,December 2024,112,"43.60440316900008, -116.20578893399994"
