Administration,Publication,Date of Event,Source,Link,Movement,Actor,Type of Action,Target of action,Admin Response,Notes,Include
Randel,Maroon,5/19/2006,Darfur activists support realistic solutions – Chicago Maroon,https://chicagomaroon.com/6123/viewpoints/op-ed/darfur-activists-support-realistic-solutions-2/,Sudan,,Letter Writing,,,,1
Randel,Maroon,5/10/2006,In defense of divestment,https://chicagomaroon.com/12950/news/in-defense-of-divestment/,Sudan,,Letter Writing,,,,1
Randel,Maroon,4/18/2006,Divest From Sudan,https://chicagomaroon.com/6024/viewpoints/op-ed/divest-from-sudan/,Sudan,Maroon,Letter Writing,Board of Trustees,,,1
Randel,Maroon,4/7/2006,"Bucking trend, U of C will not divest from Sudan",https://chicagomaroon.com/8606/news/bucking-trend-u-of-c-will-not-divest-from-sudan/,Sudan,STAND,Letter Writing,President/Administration,Interview/forum,,1
Gray,Maroon Archives,12/5/1986,Divest now,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1986-1205;query=divest#page/15/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,10/22/1986,Faculty members speak out on divestment ,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1985-1108;query=divest#page/4/mode/1up,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,9/26/1986,The current state of divestment,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1986-0926;query=divest#page/98/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,4/4/1986,Student movement,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1986-0404;query=divest#page/35/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,4/4/1986,Tradition of resistance,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1986-0404;query=divest#page/32/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,4/4/1986,Case for divestment,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1986-0404;query=divest#page/32/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,2/14/1986,Trustees Profit from Apartheid,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1986-0214;query=divest#page/4/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,2/14/1986,Coalition calls for divestment,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1986-0214;query=divest#page/4/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,11/8/1985,Faculty members speak out on divestment,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1985-1108;query=divest#page/4/mode/1up,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,10/22/1985,"We, the undersigned members of the University of Chicago faculty",https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1985-1022;query=divest#page/16/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,10/11/1985,Sarkar exposes Hanna's inconsistencies on South Africa,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1985-1011;query=divest#page/4/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,5/31/1985,Students against Apartheid speak out,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1985-0531;query=divest#page/4/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,5/10/1985,Editorial Protest,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1985-0510;query=divest#page/1/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,4/20/1979,Yes on divest,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1979-0420;query=divest#page/4/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Gray,Maroon Archives,10/27/1978,Action Committee addresses Pres Gray,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1978-1027;query=divest#page/5/mode/1up/search/divest,South Africa,,Letter Writing,General,,,1
Wilson,Maroon Archives,4/21/1978,"So, leave",https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1978-0421;query=divest#page/4/mode/1up/search/divest,South Africa,,Letter Writing,,,,1
Wilson,Maroon Archives,2/24/1978,UC isolationism,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1978-0224;query=divest#page/4/mode/1up/search/divest,South Africa,,Letter Writing,General,,,1
Wilson,Maroon Archives,2/17/1978,Seventies Students,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1978-0217;query=divest#page/4/mode/1up/search/divest,South Africa,,Letter Writing,General,,,1
Wilson,Maroon Archives,2/17/1978,Oppose the trustees,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1978-0217;query=divest#page/4/mode/1up/search/divest,South Africa,Action Committee on SA,Letter Writing,General,,,1
Wilson,Maroon Archives,1/31/1978,UC and South Africa,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1978-0131;query=divest#page/4/mode/1up/search/divest,South Africa,,Letter Writing,General,,,1
Wilson,Maroon Archives,1/13/1978,Letter to Blair,https://campub.lib.uchicago.edu/view/?docId=mvol-0004-1978-0113;query=divest#page/4/mode/1up/search/divest,South Africa,Action Committee on SA,Letter Writing,Board of Trustees,,,1
