Issuer,Ticker,Thousands,Industry,Summary
AFLAC INC.,AFL,0.15,Insurance - Life,"Aflac Incorporated, through its subsidiaries, provides supplemental health and life insurance products. The company operates in two segments, Aflac Japan and Aflac U.S. The Aflac Japan segment offers cancer, medical, nursing care, whole life, and GIFT insurance products, as well as WAYS and child endowment, and Tsumitasu insurance products in Japan. The Aflac U.S. segment provides accident, disability, cancer, critical illness, hospital indemnity, dental, vision, and life insurance products in the United States. The company sells its products through individual, independent corporate, and affiliated corporate agencies; banks; independent associates/career agents; and brokers. Aflac Incorporated was founded in 1955 and is based in Columbus, Georgia."
AG,ADS,0.04,,
AG IN MUENCHEN,MUV2,0.09,,
AGILENT TECHNOLOGIES INC.,A,0.09,Diagnostics & Research,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The company operates in three segments: Life Sciences and Applied Markets, Diagnostics and Genomics, and Agilent CrossLab. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; and vacuum pumps, and measurement technologies. This segment also offers GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies. The Diagnostics and Genomics segment provides genomics, contract manufacturing and research and development, pathology, companion diagnostics, reagent partnership, and biomolecular analysis businesses; and cell analysis plate based assays, flow cytometers, real-time cell analyzers, cell imaging systems, microplate readers, and related consumables. The Agilent CrossLab segment provides various services, including repairs, parts, maintenance, installations, training, compliance support, software as a service, asset management, and consulting services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California."
AGNICO EAGLE MINES LTD.,AEM,0.06,Gold,"Agnico Eagle Mines Limited, a gold mining company, engages in the exploration, development, and production of precious metals. It explores for gold, silver, zinc, and copper. The company's mines are located in Canada, Australia, Finland, and Mexico; and with exploration and development activities in Canada, Australia, Europe, Latin America, and the United States. Agnico Eagle Mines Limited was incorporated in 1953 and is headquartered in Toronto, Canada."
AIA GROUP LTD.,1299,0.1,,
AIR LIQUIDE SA,AI,0.05,Software - Infrastructure,"C3.ai, Inc. operates as an enterprise artificial intelligence application software company. The company provides C3 agentic AI platform, an application development and runtime environment that enables customers to design, develop, and deploy enterprise AI applications; C3 AI CRM Suite, a customer relationship management solution; C3 Generative AI that enables to locate, retrieve, present information, disparate data stores, applications, and enterprise information systems; C3 AI Health Suite to accelerate healthcare innovation and streamline drug development; and C3 AI Financial Services Suite. Its C3 AI Applications include C3 AI Asset Performance suite, which consists of C3 AI Reliability, C3 AI Process Optimization, and C3 AI Energy Management applications that drives enterprise asset performance, reduces downtime, and improves process efficiency. The company's C3 AI Supply Chain Suite comprises C3 AI Supply Network Risk, C3 AI Inventory Optimization, C3 AI Demand Forecasting, C3 AI Production Schedule Optimization, and C3 AI Sourcing Optimization solutions; C3 AI Sustainability Suite includes C3 AI ESG and C3 AI Energy Management applications to decrease greenhouse gas and GHG, emissions; and C3 AI Defense & Intelligence Suite. It provides C3 AI State and Local Government Suite that includes various applications, such as C3 Law Enforcement for state, county, and municipal law enforcement agencies; C3 AI Residential Property Appraisal and C3 AI Commercial Property Appraisal for county property assessors and appraisers; and C3 Generative AI for Government Programs and C3 Generative AI for Constituent Services for federal, state, and local governments. It has strategic partnerships with Microsoft Azure, AWS, Google Cloud, McKinsey & Company, Baker Hughes, Booz Allen, and others. The company has a strategic alliance with SMX Group, LLC for the development of mission critical AI in the secure environments. The company was formerly known as C3 IoT, Inc. and changed its name to C3.ai, Inc. in June 2019. C3.ai, Inc. was incorporated in 2009 and is headquartered in Redwood City, California."
AIR PRODUCTS & CHEMICALS INC.,APD,0.12,Specialty Chemicals,"Air Products and Chemicals, Inc. provides atmospheric gases, process and specialty gases, equipment, and related services in the Americas, Asia, Europe, the Middle East, India, and internationally. The company produces atmospheric gases, including oxygen, nitrogen, and argon; process gases, such as hydrogen, helium, carbon dioxide, carbon monoxide, and syngas; and specialty gases for customers in various industries, including refining, chemical, manufacturing, electronics, energy production, medical, food, and metals. It also designs and manufactures equipment for air separation, hydrocarbon recovery and purification, natural gas liquefaction, and liquid helium and liquid hydrogen transport and storage. The company was founded in 1940 and is headquartered in Allentown, Pennsylvania."
AIRBNB INC. CLASS A,ABNB,0.11,Travel Services,"Airbnb, Inc., together with its subsidiaries, operates a platform that enables hosts to offer stays and experiences to guests worldwide. Its marketplace connects hosts and guests online or through mobile devices to book spaces and experiences. It also offers gift cards. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California."
AIRBUS SE,AIR,0.13,Aerospace & Defense,"AAR Corp. provides products and services to commercial aviation, government, and defense markets in North America, Europe, Africa, Asia, and internationally. It operates through four segments: Parts Supply, Repair & Engineering, Integrated Solutions, and Expeditionary Services. The company leases and sells aircraft components and replacement parts; and designs, manufactures, and repairs transportation pallets. The company also provides airframe maintenance services, such as airframe inspection, painting services, line maintenance, airframe modifications, structural repairs, avionics service and installation, exterior, and interior refurbishment services; component repair services, including maintenance, repair, and overhaul services, engine and airframe accessories, and interior refurbishment; and engineering services, such as integration, certification and procurement. In addition, it develops aircraft components and parts; designs proprietary designated engineering representative repairs; and provides integrated software solutions comprising Trax, a cloud-based electronic enterprise resource platform, as well as a suite of paperless mobility apps for automating workflows. Further, the company engages in the fleet management and operation of customer-owned aircraft; provision of supply chain logistics services, such as material planning, sourcing, logistics, information and program management, and parts and component repair and overhaul services, as well as engineering, design, and system integration services for specialized command and control systems; and flight hour component inventory and repair services. Additionally, it offers containers and shelters for military and humanitarian tactical deployment activities; and shelters, such as stationary and vehicle-mounted applications. AAR Corp. was founded in 1951 and is headquartered in Wood Dale, Illinois."
AKAMAI TECHNOLOGIES INC.,AKAM,0.02,Software - Infrastructure,"Akamai Technologies, Inc. engages in the provision of security, delivery, and cloud computing solutions in the United States and internationally. The company offers security solutions that include web application and application programming interfaces (API) protection solutions, which protect web, API, and mobile app traffic from attacks; Bot & Abuse portfolio, which provides solutions to help customers protect against threats; Akamai Account Protector, which offers full account lifecycle protections including the ability to defend against account takeover and opening abuse, adversarial bot protection, protection against credential stuffing, inventory scalping, and hoarding; Akamai Content Protector, which provides solutions designed to stop persistent scrapers from stealing content; API security, which discovers, audits, and monitors API; and microservice and application component protection that analyzes and protects application traffic that moves between application components. It also offers cloud computing services, which include compute, storage, networking, database, and container management services; and Akamai App Platform, provides ready-to-run templates that address challenges in deploying, managing and scaling Kubernetes clusters at scale. In addition, the company offers delivery solutions that include web and mobile performance solutions, which enables dynamic websites and applications, as well as global traffic management, site acceleration, application load balancing, large-scale load testing, and real-user monitoring; and media delivery solutions, including video streaming and video player services, game and software delivery, broadcast operations, authoritative domain name system, resolution, and data and analytics. The company has a technical alliances with TollBit and Skyfire for publishers and content owners to monetize AI bot traffic. Akamai Technologies, Inc. was incorporated in 1998 and is headquartered in Cambridge, Massachusetts."
AL RAJHI BANK,1120,0.05,,
ALBEMARLE CORP.,ALB,0.02,Specialty Chemicals,"Albemarle Corporation provides energy storage solutions worldwide. It operates through three segments: Energy Storage, Specialties, and Ketjen. The Energy Storage segment offers lithium compounds, including lithium carbonate, lithium hydroxide, and lithium chloride for use in lithium batteries used in consumer electronics and electric vehicles, power grids and solar panels, high performance greases, specialty glass used in consumer appliances and electronics, organic synthesis processes in the areas of steroid chemistry and vitamins, and various life science applications, as well as intermediates in the pharmaceutical industry; technical services, including handling and use of reactive lithium products; and recycling services for lithium-containing by-products. The Specialties segment provides bromine and highly specialized lithium solutions for various industries, such as energy, mobility, connectivity, and health comprising fire safety compounds; bromine-based specialty chemicals products, including elemental bromine, alkyl bromides, inorganic bromides, brominated powdered activated carbon, and various bromine fine chemicals; lithium specialties, such as butyllithium and lithium aluminum hydride; cesium products for the chemical and pharmaceutical industries; and zirconium, barium, and titanium products for pyrotechnical applications that include airbag initiators. The Ketjen segment offers clean fuels technologies, including hydroprocessing catalysts together with isomerization and akylation catalysts; fluidized catalytic cracking catalysts and additives; and performance catalyst solutions comprising organometallics and curatives. It serves grid storage, automotive, aerospace, conventional energy, electronics, construction, agriculture and food, pharmaceuticals and medical device industries. Albemarle Corporation was founded in 1887 and is headquartered in Charlotte, North Carolina."
ALCON AG,ALC,0.05,Medical Instruments & Supplies,"Alcon Inc. researches, develops, manufactures, distributes, and sells eye care products worldwide. It operates through two segments, Surgical and Vision Care. The company offers equipment, instrumentation and diagnostics, intraocular lenses (IOLs), and other implantables; and consumables, including viscoelastics, surgical solutions, incisional instruments, surgical custom packs, and other products for surgical procedures. Its cataract products include Centurion vision system, LenSx laser system, Verion reference unit and Verion digital marker, ARGOS biometer, SMARTCATARACT health platform, NGENUITY 3D visualization system, LuxOR surgical ophthalmic microscope, and ORA system for intra-operative measurements; and implantable products, including monofocal, Toric, and Presbyopia-Correcting IOLs, as well as delivery systems, such as AutonoMe and UltraSert. In addition, it provides Custom Pak surgical procedure packs vitreoretinal products comprising constellation vision systems, procedure packs, lasers and hand-held microsurgical instruments, grieshaber, MIVS instruments, scissors, forceps and micro-instruments, medical grade vitreous tamponades, and Hypervit vitrectomy probes; and refractive surgery products, including WaveLight and Contoura Vision used for LASIK refractive procedure. Further, the company offers daily disposable, reusable, and color-enhancing contact lenses; ocular health products, such as dry eye, ocular allergies, glaucoma, and contact lens care, as well as ocular vitamins and redness relievers. The company was formerly known as Alcon Universal S.A. and changed its name to Alcon Inc. in December 2001. Alcon Inc. was founded in 1945 and is headquartered in Geneva, Switzerland."
ALEXANDRIA REAL ESTATE EQUITIES INC.,ARE,0.02,REIT - Office,"Alexandria Real Estate Equities, Inc. (NYSE: ARE), an S&P 500 company, is a best-in-class, mission-driven life science REIT making a positive and lasting impact on the world. With our founding in 1994, Alexandria pioneered the life science real estate niche. Alexandria is the preeminent and longest-tenured owner, operator, and developer of collaborative Megacampus ecosystems in AAA life science innovation cluster locations, including Greater Boston, the San Francisco Bay Area, San Diego, Seattle, Maryland, Research Triangle, and New York City. As of June 30, 2025, Alexandria has a total market capitalization of $25.7 billion and an asset base in North America that includes 39.7 million RSF of operating properties and 4.4 million RSF of Class A/A+ properties undergoing construction and one 100% pre-leased committed near-term project expected to commence construction in the next year. Alexandria has a long-standing and proven track record of developing Class A/A+ properties clustered in highly dynamic and collaborative Megacampus environments that enhance our tenants' ability to successfully recruit and retain world-class talent and inspire productivity, efficiency, creativity, and success. Alexandria also provides strategic capital to transformative life science companies through our venture capital platform. We believe our unique business model and diligent underwriting ensure a high-quality and diverse tenant base that results in higher occupancy levels, longer lease terms, higher rental income, higher returns, and greater long-term asset value."
ALIBABA GROUP HOLDING LTD.,9988,0.26,,
ALIGN TECHNOLOGY INC.,ALGN,0.02,Medical Instruments & Supplies,"Align Technology, Inc. provides Invisalign clear aligners, Vivera retainers, and iTero intraoral scanners and services in the United States, Switzerland, and internationally. The company's Clear Aligner segment offers Invisalign comprehensive package to treat adults and teens malocclusion and features, and orthodontic needs of teenage or younger patients; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients between the ages of six and ten years with a mixture of primary/baby and permanent teeth. This segment also provides Invisalign express, Invisalign lite, and Invisalign moderate; Invisalign Go, Invisalign Go express, and Invisalign Go Plus; retention products, Invisalign training, adjusting tools used by dental professionals during treatment, ancillary Invisalign accessory products, and other oral health products; Invisalign Professional Whitening system; Invisalign Palatal Expander, a 3D printed orthodontic device; and 3D printing solutions. Its Imaging Systems and CAD/CAM Services segment offers iTero intraoral scanning system, a single hardware platform for restorative or orthodontic procedures; exocad, a computer-aided design and computer-aided manufacturing software; orthodontist software for digital records storage, orthodontic diagnosis, and fabrication of printed models and retainers; and restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons. This segment also offers Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner; Invisalign progress assessment tool; Align Oral Health Suite, a digital interface for dental consultations; iTero TimeLapse technology for doctors or practitioners to compare a patient's historic 3D scans to the present-day scan; and subscription software, disposables, rents scanners, and pay per scan services. The company was incorporated in 1997 and is headquartered in Tempe, Arizona."
ALLEGION PLC,ALLE,0.02,Security & Protection Services,"Allegion plc engages in the provision of security products and solutions worldwide. The company offers door controls, door control system, and exit devices; doors, glass and door systems, and accessories; electronic security products and access control systems, including time, attendance, and workforce productivity; and locks, locksets, portable locks, and key systems. It also provides services and software, such as inspection, maintenance, and repair services for its automatic entrance solutions; software as a service, including access control, platform integration, and workforce management solutions; and ongoing aftermarket services, design and installation offerings, and locksmith offerings. In addition, the company sells its products and solutions to end-users in commercial, institutional, and residential facilities, including education, healthcare, government, hospitality, retail, commercial office, and single and multi-family residential markets under the CISA, Interflex, LCN, Schlage, SimonsVoss, and Von Duprin brands. It sells its products and solutions through distribution and retail channels, such as specialty distribution, e-commerce, and wholesalers, as well as through various retail channels comprising do-it-yourself home improvement centers, online and e-commerce platforms, and small specialty showroom outlets. The company was incorporated in 2013 and is based in Dublin, Ireland."
ALLIANT ENERGY CORP.,LNT,0.03,Utilities - Regulated Electric,"Alliant Energy Corporation operates as a utility holding company that provides regulated electric and natural gas services in the United States. It operates through IPL and WPL segments. The company, through its subsidiary, Interstate Power and Light Company (IPL), engages primarily in the generation and distribution of electricity and the distribution and transportation of natural gas to retail customers in select markets in Iowa. This segment also sells electricity to wholesale customers in Minnesota, Illinois and Iowa; and generates and distributes steam for two customers in Cedar Rapids, Iowa. Alliant Energy Corporation, through its other subsidiary, Wisconsin Power and Light Company (WPL), generates and distributes electricity, and distributes and transports natural gas to retail customers in select markets in Wisconsin; and sells electricity to wholesale customers in Wisconsin. It serves retail customers in the farming, agriculture, industrial manufacturing, chemical, packaging, and food industries, as well as wholesale customers comprising municipalities and rural electric cooperatives. In addition, the company owns and operates a short-line rail freight service in Iowa; a Mississippi River barge, rail, and truck freight terminal in Illinois; freight brokerage services; wind turbine blade recycling services; and a rail-served warehouse in Iowa. Further, it holds interests in a natural gas-fired electric generating unit near Sheboygan Falls, Wisconsin; and a wind farm located in Oklahoma. The company was formerly known as Interstate Energy Corp. and changed its name to Alliant Energy Corporation in May 1999. Alliant Energy Corporation is headquartered in Madison, Wisconsin."
ALLIANZ SE,ALV,0.16,Auto Parts,"Autoliv, Inc., through its subsidiaries, develops, manufactures, and supplies passive safety systems to the automotive industry in Europe, the Americas, China, Japan, and rest of Asia. The company offers passive safety systems, including modules and components for frontal-impact airbag protection systems, side-impact airbag protection systems, pedestrian protection systems, steering wheels, inflator technologies, battery cut-off switches, and seatbelts. It also provides also provides mobility safety solutions, such as pedestrian protection, battery cut-off switches, connected safety services, and safety solutions for riders of powered two-wheelers. The company primarily serves car manufacturers. Autoliv, Inc. was founded in 1953 and is based in Stockholm, Sweden."
ALLSTATE CORP.,ALL,0.15,Insurance - Property & Casualty,"The Allstate Corporation, together with its subsidiaries, provides property and casualty, and other insurance products in the United States and Canada. It operates in five segments: Allstate Protection; Run-off Property-Liability; Protection Services; Allstate Health and Benefits; and Corporate and Other. The company offers private passenger auto, homeowners, personal lines, and commercial insurance products through agents, contact centers, and online; and property and casualty insurance products. It also provides consumer product protection plans, device and mobile data collection services, and analytic solutions using automotive telematics information, roadside assistance, and protection plans; and insurance products, such as identity protection and restoration through Allstate Protection Plans, Allstate Dealer Services, Allstate Roadside, Arity, and Allstate Identity Protection brands. In addition, the company offers life, accident, critical illness, hospital indemnity, short-term disability, and other health insurance products; self-funded stop-loss and fully insured group health products to employers; medicare supplement, ancillary products, and short-term medical insurance to individuals through independent agents, owned agencies, benefits brokers, and Allstate exclusive agents. Further, it offers automotive protection; vehicle service contracts, guaranteed asset protection, road hazard tires and wheels, and paintless dent repair protection; and roadside assistance, mobility data collection services, and analytic solutions using automotive telematics information, identity theft protection, and remediation services. The Allstate Corporation was founded in 1931 and is headquartered in Northbrook, Illinois."
ALNYLAM PHARMACEUTICALS INC.,ALNY,0.04,Biotechnology,"Alnylam Pharmaceuticals, Inc. discovers, develops, and commercializes therapeutics based on ribonucleic acid interference. It offers ONPATTRO and AMVUTTRA for hereditary transthyretin-mediated amyloidosis; GIVLAARI for acute hepatic porphyria; OXLUMO for primary hyperoxaluria type 1; and Leqvio for hypercholesterolemia. It also develops vutrisiran, which is in phase III clinical trial for transthyretin amyloidosis (ATTR) with cardiomyopathy; Nucresiran that is in phase I clinical trial for ATTR amyloidosis; Fitusiran, which is in phase III clinical trial for hemophilia; cemdisiran that is in phase III clinical trial for Myasthenia Gravis and paroxysmal nocturnal hemoglobinuria, and geographic atrophy; and ALN-6400, which is in phase I clinical trial for bleeding disorders. In addition, the company is also developing Zilebesiran, which is in phase II clinical trial for hypertension; Rapirosiran that is in phase II clinical trial for Metabolic dysfunction-associated steatohepatitis; ALN-4324, which is in phase I clinical trial for type 2 diabetes mellitus; ALN-PNP that is in phase I clinical trial for non-alcoholic fatty liver disease; ALN-APOC3, which is in phase I clinical trial for dyslipidemia; Mivelsiran that is in phase II clinical trial for cerebral amyloid angiopathy, and phase I clinical trial for Alzheimer's disease; and ALN-HTT02 that is in phase I clinical trial for Huntington's disease. Further, it develops ALN-SOD, which is in phase II clinical trial for SOD1 Amyotrophic lateral sclerosis; Elebsiran that is in phase II clinical trial for Hepatitis B and D virus infections; ALN-BCAT that is in phase I clinical trial for hepatocellular carcinoma; and ALN-ANG3. It has collaborations with Regeneron Pharmaceuticals, Inc.; Roche Holding AG; Regeneron Pharmaceuticals, Inc.; Sanofi S.A.; Novartis AG; PeptiDream, Inc; Dicerna Pharmaceuticals, Inc.; and Ionis Pharmaceuticals, Inc. The company was founded in 2002 and is headquartered in Cambridge, Massachusetts."
ALPHABET INC. CLASS A,GOOGL,3.01,Internet Content & Information,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers AI infrastructure, Vertex AI platform, cybersecurity, data and analytics, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Calendar, Gmail, Docs, Drive, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California."
ALPHABET INC. CLASS C,GOOG,2.45,Internet Content & Information,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers AI infrastructure, Vertex AI platform, cybersecurity, data and analytics, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Calendar, Gmail, Docs, Drive, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California."
ALTRIA GROUP INC.,MO,0.29,Tobacco,"Altria Group, Inc., through its subsidiaries, manufactures and sells smokeable and oral tobacco products in the United States. The company offers cigarettes primarily under the Marlboro brand; large cigars and pipe tobacco under the Black & Mild brand; moist smokeless tobacco and oral tobacco products under the Copenhagen, Skoal, Red Seal, and Husky brands; oral nicotine pouches under the on! brand; and e-vapor products under the NJOY ACE brand. It sells its products to distributors, as well as large retail organizations, such as chain stores. Altria Group, Inc. was founded in 1822 and is headquartered in Richmond, Virginia."
AMADEUS IT GROUP SA,AMS,0.04,Medical Care Facilities,"American Shared Hospital Services provides technology solutions for stereotactic radiosurgery and advanced radiation therapy equipment and services. It operates in two segments, Leasing and Retail. The company leases nine Gamma Knife systems and one proton beam radiation therapy (PBRT) system; and provides planning, installation, reimbursement, and marketing support services. It also owns and operates two single-unit Gamma Knife facilities that provides radiosurgery services directly to the patient. The company markets its solutions to cancer treatment centers, health systems, and cancer networks worldwide. American Shared Hospital Services was founded in 1980 and is based in San Francisco, California."
