Issuer,Class,Cusip,Value,SharesPrnAmount,Type,PutCall,InvestmentDiscretion,SoleVoting,SharedVoting,NonVoting,Ticker,Date
Bjs Whsl Club Inc,COM,05548J106,1057,37300,SH,,Other,0,0,37300,01,2006-06-30
Bombardier Inc Cl B,COM,097751200,961,343100,SH,,Other,0,0,343100,02,2006-06-30
Borders Group Inc,COM,099709107,1176,63700,SH,,Other,0,0,63700,01,2006-06-30
Bowl Amer Inc Cl A,COM,102565108,421,29000,SH,,Other,0,0,29000,01,2006-06-30
Cameco Corp,COM,13321L108,206,5150,SH,,Other,0,0,5150,02,2006-06-30
Carlisle Companies Inc,COM,142339100,1903,24000,SH,,Other,0,0,24000,01,2006-06-30
Carpenter Tech Corp,COM,144285103,2483,21500,SH,,Other,0,0,21500,01,2006-06-30
Cascade Corp,COM,147195101,1713,43300,SH,,Other,0,0,43300,01,2006-06-30
CEC Entmt Inc,COM,125137109,1317,41000,SH,,Other,0,0,41000,01,2006-06-30
Celestica Sub Vtg,COM,15101Q108,1280,134200,SH,,Other,0,0,134200,02,2006-06-30
Chemtura Corp COM 163893100 360 38500,AH,,,,,,Other,0,0,38500,02,2006-06-30
Claires Stores,COM,179584107,2589,101500,SH,,Other,0,0,101500,01,2006-06-30
Convergys Corp,COM,212485106,1287,65975,SH,,Other,0,0,65975,02,2006-06-30
Countrywide Finl Corp,COM,222372104,2096,55050,SH,,Other,0,0,55050,02,2006-06-30
Crown Hldgs Inc COM 228368106 316 20300 SH,OTHER,,,,,,,0,0,20300,02,2006-06-30
CSS Inds Inc,COM,125906107,1791,62300,SH,,Other,0,0,62300,01,2006-06-30
CSX Corp,COM,126408103,3726,52900,SH,,Other,0,0,52900,02,2006-06-30
Curtiss Wright Corp,COM,231561101,281,9100,SH,,Other,0,0,9100,02,2006-06-30
Cytek Inc,COM,232820100,1261,23500,SH,,Other,0,0,23500,02,2006-06-30
Dean Foods Co,COM,242370104,660,17750,SH,,Other,0,0,17750,02,2006-06-30
Deb Shops Inc,COM,242728103,1507,62500,SH,,Other,0,0,62500,01,2006-06-30
DeVRY Inc Del,COM,251893103,6887,313476,SH,,Sole,313476,0,0,,2006-06-30
Dorman Prods Inc,COM,258278100,942,80000,SH,,Other,0,0,80000,01,2006-06-30
Elkcorp,COM,287456107,878,31600,SH,,Other,0,0,31600,01,2006-06-30
Escalade Inc,COM,296056104,752,57824,SH,,Other,0,0,57824,01,2006-06-30
Ethan Allen Int,COM,297602104,1444,39500,SH,,Other,0,0,39500,01,2006-06-30
Frischs Rstaurnts Inc,COM,358748101,831,35000,SH,,Other,0,0,35000,01,2006-06-30
Gamestop Corp New Cl B,COM,36467W208,1192,34800,SH,,Other,0,0,34800,02,2006-06-30
Gen Mtrs Corp Sr B,COM,370442733,1906,103050,SH,,Other,0,0,103050,02,2006-06-30
Genlyte Group Inc,COM,372302109,2173,30000,SH,,Other,0,0,30000,01,2006-06-30
Genworth Finl Inc Cl,A,37247D106,2381,68350,SH,,Other,0,0,68350,02,2006-06-30
Global Imaging Sys Inc,COM,37934A100,1899,46000,SH,,Other,0,0,46000,01,2006-06-30
Goodrich Corp,COM,382388106,2562,63600,SH,,Other,0,0,63600,02,2006-06-30
Greif Inc,COM,397624107,232,3100,SH,,Other,0,0,3100,01,2006-06-30
Gtech Hldgs Corp,COM,400518106,501,14400,SH,,Other,0,0,14400,02,2006-06-30
Hampshire Group LTD,COM,408859106,1360,80000,SH,,Other,0,0,80000,01,2006-06-30
Hilb Rogal & Hobbs,COM,431294107,1938,52000,SH,,Other,0,0,52000,01,2006-06-30
Hilton Hotels Corp,COM,432848109,2647,93600,SH,,Other,0,0,93600,02,2006-06-30
Hooker Furniture,COM,439038100,844,50300,SH,,Other,0,0,50300,01,2006-06-30
Host Hotels & Resrts,COM,44107P104,1808,82650,SH,,Other,0,0,82650,02,2006-06-30
Hrpt Pptys Tr,COM,40426W101,727,62850,SH,,Other,0,0,62850,02,2006-06-30
Hudson Cy Bancorp Inc,COM,443683107,456,34200,SH,,Other,0,0,34200,02,2006-06-30
Indymac Bancorp Inc,COM,456607100,5032,109750,SH,,Other,0,0,109750,02,2006-06-30
Insteel Inds INc,COM,45774W108,2202,91000,SH,,Other,0,0,91000,01,2006-06-30
Intl Paper Co,COM,460146103,756,23400,SH,,Other,0,0,23400,02,2006-06-30
Intl Rectifier Corp,COM,460254105,1639,41950,SH,,Other,0,0,41950,02,2006-06-30
Jack In Box Inc,COM,466367109,1450,37000,SH,,Other,0,0,37000,01,2006-06-30
Jones Lang Lasalle,COM,48020Q107,1493,17050,SH,,Other,0,0,17050,02,2006-06-30
K Tron Intl Inc,COM,482730108,459,9000,SH,,Other,0,0,9000,01,2006-06-30
KB Home,COM,48666K109,1678,36600,SH,,Other,0,0,36600,02,2006-06-30
Kennametal Inc,CAP,489170100,809,13000,SH,,Other,0,0,13000,01,2006-06-30
K Swiss Inc,A,482686102,1135,42500,SH,,Other,0,0,42500,01,2006-06-30
Lakeland Inds,COM,511795106,292,19500,SH,,Other,0,0,19500,01,2006-06-30
Lancaster Colony,COM,513847103,2862,72500,SH,,Other,0,0,72500,01,2006-06-30
Lawson Prods Inc,COM,520776105,2247,57000,SH,,Other,0,0,57000,01,2006-06-30
Lear Corp,COM,521865105,777,35000,SH,,Other,0,0,35000,02,2006-06-30
Liberty Global CL A,COM,530555101,1018,47360,SH,,Other,2,0,47360,,2006-06-30
Liberty Global CL C,COM,530555309,1142,55497,SH,,Other,0,0,55497,02,2006-06-30
Lone Star Tech Inc,COM,542312103,729,13500,SH,,Other,0,0,13500,01,2006-06-30
Lubrizol Corp,COM,549271104,1502,37700,SH,,Other,0,0,37700,01,2006-06-30
Lyondell Chem,COM,552078107,1189,52450,SH,,Other,0,0,52450,02,2006-06-30
Macdremid Inc,COM,554273102,1328,46100,SH,,Other,0,0,46100,01,2006-06-30
Met Pro Corp,COM,590876306,1126,90000,SH,,Other,0,0,90000,01,2006-06-30
MFC Ishares Mid Val,FD,464287473,839,6350,SH,,Other,0,0,6350,02,2006-06-30
Mity Enterprises Inc,COM,606850105,516,28500,SH,,Other,0,0,28500,01,2006-06-30
Mosaic Co,COM,61945A107,1515,96800,SH,,Other,0,0,96800,02,2006-06-30
N Fork Bancorp Inc,COM,659424105,3456,114550,SH,,Other,0,0,114550,02,2006-06-30
Natl Dentex Corp,COM,63563H109,1141,49200,SH,,Other,0,0,49200,01,2006-06-30
Natl Presto Inds Inc,COM,637215104,3215,61500,SH,,Other,0,0,61500,01,2006-06-30
Navistar Intl,COM,63934E108,2647,107550,SH,,Other,0,0,107550,02,2006-06-30
NCI Bldg Sys Inc,COM,628852105,1010,19000,SH,,Other,0,0,19000,01,2006-06-30
Neustar Inc CL A COM 64126X201 759 22500 SH,Other,,,,,,Sole,,0,0,,2006-06-30
Newell Rubbermaid,COM,651229106,473,18300,SH,,Other,0,0,18300,02,2006-06-30
Nordson Corp,COM,655663102,664,13500,SH,,Other,0,0,13500,01,2006-06-30
Omnicare Inc,COM,681904108,1188,25050,SH,,Other,0,0,25050,02,2006-06-30
Owens & Minor Inc,COM,690732102,215,7500,SH,,Other,0,0,7500,01,2006-06-30
Quanex Corp,COM,747620102,1206,28000,SH,,Other,0,0,28000,01,2006-06-30
Regis Corp Minn,COM,758932107,961,27000,SH,,Other,0,0,27000,01,2006-06-30
Reliant Energy Inc,COM,75952B105,5177,432100,SH,,Other,0,0,432100,02,2006-06-30
Renaissance Re Hldgs Ltd,COM,G7496G103,1144,23600,SH,,Other,0,0,23600,02,2006-06-30
Rimage Corp,COM,766721104,960,47000,SH,,Other,0,0,47000,01,2006-06-30
Rofin Sinar Tech,COM,775043102,2644,46000,SH,,Other,0,0,46000,01,2006-06-30
Royal Carribbean,COM,V7780T103,2366,61850,SH,,Other,0,0,61850,02,2006-06-30
St Joe Co,COM,790148100,313,6725,SH,,Other,0,0,6725,02,2006-06-30
Schulman A,COM,808194104,817,35700,SH,,Other,0,0,35700,01,2006-06-30
Senomyx Inc COM 81724Q107 262 18160 SH,Other,,,,,,Sole,18160,0,0,,2006-06-30
Standex Intl Corp,COM,854231107,1918,63200,SH,,Other,0,0,63200,01,2006-06-30
Steris Corp,COM,859152100,361,15800,SH,,Other,0,0,15800,01,2006-06-30
Strattec Sec Corp,COM,863111100,752,15100,SH,,Other,0,0,15100,01,2006-06-30
Sun Hydraulics Corp COM 866942105 567 27300 SH,OTher,,,,,,,0,0,27300,01,2006-06-30
Tate & Lyle,PLC,876570607,762,17000,SH,,Other,0,0,17000,02,2006-06-30
Tel Data Sys Inc,COM,879433860,1470,37800,SH,,Other,0,0,37800,02,2006-06-30
Triad Hosps Inc,COM,89579K109,936,23650,SH,,Other,0,0,23650,02,2006-06-30
Tyson Foods Inc Cl A,COM,902494103,244,16450,SH,,Other,0,0,16450,02,2006-06-30
Unumprovident Corp,COM,91529Y106,675,37250,SH,,Other,0,0,37250,02,2006-06-30
Visteon Corp,COM,92839U107,1718,238250,SH,,Other,0,0,238250,02,2006-06-30
Watson Wyatt Hldgs A,COM,942712100,780,22200,SH,,Other,0,0,22200,01,2006-06-30
XM Satlite Radio Hldgs,COM,983759101,1189,81150,SH,,Other,0,0,81150,02,2006-06-30
Adv Semiconductor,ADR,00756M404,1250,268162,SH,,Other,0,0,268162,02,2006-03-31
AU Optronics Corp,ADR,002255107,1773,118936,SH,,Other,0,0,118936,02,2006-03-31
Activision Inc,COM,004930202,361,26150,SH,,Other,0,0,26150,02,2006-03-31
Agere Sys A,COM,00845V308,1525,101425,SH,,Other,0,0,101425,02,2006-03-31
Agilent Technologies,COM,00846U101,642,17098,SH,,Other,0,0,17098,02,2006-03-31
Alexander & Baldwin Inc,COM,014482103,224,4700,SH,,Other,0,0,4700,02,2006-03-31
Amerisourcebergen,COM,03073E105,1120,23200,SH,,Other,0,0,23200,02,2006-03-31
Amern Std Cos,COM,029712106,574,13400,SH,,Other,0,0,13400,02,2006-03-31
Amern Woodmark Corp,COM,030506109,454,12800,SH,,Other,0,0,12800,01,2006-03-31
AMR Corp Del Sr NT,COM,001765BA3,1350,798000,SH,,Other,0,0,798000,02,2006-03-31
Andrew Corp,COM,034425108,177,14450,SH,,Other,0,0,14450,02,2006-03-31
Annaly Mtg Mgmt Inc,COM,035710409,1851,152500,SH,,Other,0,0,152500,02,2006-03-31
Applied Indl Tech,COM,03820C105,602,13500,SH,,Other,0,0,13500,01,2006-03-31
Apt Invt & Mgmt Cl,A,03748R101,2659,56700,SH,,Other,0,0,56700,02,2006-03-31
AR Best Corp,COM,040790107,1682,43000,SH,,Other,0,0,43000,01,2006-03-31
Arden Group A,COM,039762109,1487,16000,SH,,Other,0,0,16000,01,2006-03-31
Atrion Corp,COM,049904105,671,8500,SH,,Other,0,0,8500,01,2006-03-31
Avnet Inc,COM,053807103,2327,91675,SH,,Other,0,0,91675,02,2006-03-31
Bandag Inc Cl A,COM,059815308,1833,51300,SH,,Other,0,0,51300,01,2006-03-31
Banta Corp,COM,066821109,2776,53400,SH,,Other,0,0,53400,01,2006-03-31
Bearingpoint Inc,COM,074002106,1354,159450,SH,,Other,0,0,159450,02,2006-03-31
Bio Rad Labs Cl A,COM,090572207,2824,45300,SH,,Other,0,0,45300,01,2006-03-31
Bjs Whsl Club Inc,COM,05548J106,1453,46100,SH,,Other,0,0,46100,01,2006-03-31
Bombardier Inc Cl B,COM,097751200,1014,343100,SH,,Other,0,0,343100,02,2006-03-31
Borders Group Inc,COM,099709107,2133,84500,SH,,Other,0,0,84500,01,2006-03-31
Bowl Amer Inc Cl A,COM,102565108,423,29000,SH,,Other,0,0,29000,01,2006-03-31
Cameco Corp,COM,13321L108,493,13700,SH,,Other,0,0,13700,02,2006-03-31
Carlisle Companies Inc,COM,142339100,1718,21000,SH,,Other,0,0,21000,01,2006-03-31
Carpenter Tech Corp,COM,144285103,2221,23500,SH,,Other,0,0,23500,01,2006-03-31
Cascade Corp,COM,147195101,2061,39000,SH,,Other,0,0,39000,01,2006-03-31
CEC Entmt Inc,COM,125137109,1378,41000,SH,,Other,0,0,41000,01,2006-03-31
Celestica Sub Vtg,COM,15101Q108,1537,134200,SH,,Other,0,0,134200,02,2006-03-31
Claires Stores,COM,179584107,3468,95500,SH,,Other,0,0,95500,01,2006-03-31
Convergys Corp,COM,212485106,1201,65975,SH,,Other,0,0,65975,02,2006-03-31
Countrywide Finl Corp,COM,222372104,1896,51650,SH,,Other,0,0,51650,02,2006-03-31
CSS Inds Inc,COM,125906107,1964,60000,SH,,Other,0,0,60000,01,2006-03-31
CSX Corp,COM,126408103,3163,52900,SH,,Other,0,0,52900,02,2006-03-31
Curtiss Wright Corp,COM,231561101,245,3700,SH,,Other,0,0,3700,02,2006-03-31
Cytek Inc,COM,232820100,1410,23500,SH,,Other,0,0,23500,02,2006-03-31
Dean Foods Co,COM,242370104,689,17750,SH,,Other,0,0,17750,02,2006-03-31
Deb Shops Inc,COM,242728103,1821,61300,SH,,Other,0,0,61300,01,2006-03-31
DeVRY Inc Del,COM,251893103,7171,314921,SH,,Sole,314921,0,0,,2006-03-31
Elkcorp,COM,287456107,624,18500,SH,,Other,0,0,18500,01,2006-03-31
Escalade Inc,COM,296056104,584,52700,SH,,Other,0,0,52700,01,2006-03-31
Ethan Allen Int,COM,297602104,1660,39500,SH,,Other,0,0,39500,01,2006-03-31
Forest Cy Ent Inc,,345550107,283,6000,SH,,Other,0,0,6000,02,2006-03-31
Frischs Rstaurnts Inc,COM,358748101,693,33500,SH,,Other,0,0,33500,01,2006-03-31
Gamestop Corp New Cl B,COM,36467W208,1508,34800,SH,,Other,0,0,34800,02,2006-03-31
Gen Mtrs Corp Sr B,COM,370442733,965,59400,SH,,Other,0,0,59400,02,2006-03-31
Genlyte Group Inc,COM,372302109,2044,30000,SH,,Other,0,0,30000,01,2006-03-31
Genworth Finl Inc Cl,A,37247D106,1949,58300,SH,,Other,0,0,58300,02,2006-03-31
Global Imaging Sys Inc,COM,37934A100,1614,42500,SH,,Other,0,0,42500,01,2006-03-31
Goodrich Corp,COM,382388106,2719,62350,SH,,Other,0,0,62350,02,2006-03-31
Gtech Hldgs Corp,COM,400518106,490,14400,SH,,Other,0,0,14400,02,2006-03-31
Hampshire Group LTD,COM,408859106,1635,80000,SH,,Other,0,0,80000,01,2006-03-31
Highwoods Pptys Inc,COM,431284108,668,19800,SH,,Other,0,0,19800,02,2006-03-31
Hilb Rogal & Hobbs,COM,431294107,2102,51000,SH,,Other,0,0,51000,01,2006-03-31
Hooker Furniture,COM,439038100,1062,56200,SH,,Other,0,0,56200,01,2006-03-31
Host Marriott Corp,COM,44107P104,4493,209950,SH,,Other,0,0,209950,02,2006-03-31
Hrpt Pptys Tr,COM,40426W101,193,16450,SH,,Other,0,0,16450,02,2006-03-31
Hudson Cy Bancorp Inc,COM,443683107,422,31750,SH,,Other,0,0,31750,02,2006-03-31
Illumina Inc COM 452327109 265 11171 SH,Other,,,,,,Sole,11171,0,0,,2006-03-31
Indymac Bancorp Inc,COM,456607100,4492,109750,SH,,Other,0,0,109750,02,2006-03-31
Insteel Inds INc,COM,45774W108,511,9000,SH,,Other,0,0,9000,01,2006-03-31
Intl Paper Co,COM,460146103,767,22200,SH,,Other,0,0,22200,02,2006-03-31
Intl Rectifier Corp,COM,460254105,2175,52500,SH,,,0,0,52500,02,2006-03-31
Jack In Box Inc,COM,466367109,1479,34000,SH,,Other,0,0,34000,01,2006-03-31
Jones Lang Lasalle,COM,48020Q107,1500,19600,SH,,Other,0,0,19600,02,2006-03-31
Kennametal Inc,CAP,489170100,795,13000,SH,,Other,0,0,13000,01,2006-03-31
K Swiss Inc,A,482686102,1227,40700,SH,,Other,0,0,40700,01,2006-03-31
Lakeland Inds,COM,511795106,400,19500,SH,,Other,0,0,19500,01,2006-03-31
Lancaster Colony,COM,513847103,3045,72500,SH,,Other,0,0,72500,01,2006-03-31
Lawson Prods Inc,COM,520776105,2301,56200,SH,,Other,0,0,56200,01,2006-03-31
Lear Corp,COM,521865105,532,30000,SH,,Other,0,0,30000,02,2006-03-31
Liberty Global CL A,COM,530555101,1068,52150,SH,,Other,0,0,52150,02,2006-03-31
Liberty Global CL C,COM,530555309,1163,58900,SH,,Other,0,0,58900,02,2006-03-31
Lubrizol Corp,COM,549271104,2100,49000,SH,,Other,0,0,49000,01,2006-03-31
Lyondell Chem,COM,552078107,1118,56200,SH,,Other,0,0,56200,02,2006-03-31
Macdermid Inc,COM,554273102,1611,50100,SH,,Other,0,0,50100,01,2006-03-31
Met Pro Corp,COM,590876306,1192,90000,SH,,Other,0,0,90000,01,2006-03-31
MFC Ishares Mid Val,FD,464287473,960,7200,SH,,Other,0,0,7200,02,2006-03-31
Mity Enterprises Inc,COM,606850105,555,28500,SH,,Other,0,0,28500,01,2006-03-31
Mosaic Co,COM,61945A107,1565,109050,SH,,Other,0,0,109050,02,2006-03-31
N Fork Bancorp Inc,COM,659424105,3271,113450,SH,,Other,0,0,113450,02,2006-03-31
Natl Beverage Corp,COM,635017106,840,72600,SH,,Other,0,0,72600,01,2006-03-31
Natl Dentex Corp,COM,63563H109,1213,52200,SH,,Other,0,0,52200,01,2006-03-31
Natl Presto Inds Inc,COM,637215104,2975,60500,SH,,Other,0,0,60500,01,2006-03-31
Navistar Intl,COM,63934E108,2966,107550,SH,,Other,0,0,107550,02,2006-03-31
NCI Bldg Sys Inc,COM,628852105,1046,17500,SH,,Other,0,0,17500,01,2006-03-31
Newell Rubbermaid,COM,651229106,461,18300,SH,,Other,0,0,18300,02,2006-03-31
Nordson Corp,COM,655663102,673,13500,SH,,Other,0,0,13500,01,2006-03-31
Optionsexpress Hldgs,COM,684010101,386,13263,SH,,Sole,13263,0,0,,2006-03-31
Owens & Minor Inc,COM,690732102,292,8900,SH,,Other,0,0,8900,01,2006-03-31
Pactiv Corp,COM,695257105,587,23900,SH,,Other,0,0,23900,02,2006-03-31
PMI Group Inc COM 69344M101 214 4650 SH,OTher,,,,,,,0,0,4650,02,2006-03-31
Quanex Corp,COM,747620102,1199,18000,SH,,Other,0,0,18000,01,2006-03-31
R & B Inc,COM,749124103,820,80000,SH,,Other,0,0,80000,01,2006-03-31
Ralcorp Hldgs Inc New,COM,751028101,396,10400,SH,,Other,0,0,10400,01,2006-03-31
Regis Corp Minn,COM,758932107,931,27000,SH,,Other,0,0,27000,01,2006-03-31
Reliant Energy Inc,COM,75952B105,4572,432100,SH,,Other,0,0,432100,02,2006-03-31
Renaissance Re Hldgs Ltd,COM,G7496G103,1029,23600,SH,,Other,0,0,23600,02,2006-03-31
Rimage Corp,COM,766721104,804,35600,SH,,Other,0,0,35600,01,2006-03-31
Rofin Sinar Tech,COM,775043102,2436,45000,SH,,Other,0,0,45000,01,2006-03-31
Royal Carribbean,COM,V7780T103,2546,60600,SH,,Other,0,0,60600,02,2006-03-31
St Joe Co,COM,790148100,218,3475,SH,,Other,0,0,3475,02,2006-03-31
Schulman A,COM,808194104,1819,73500,SH,,Other,0,0,73500,01,2006-03-31
Standex Intl Corp,COM,854231107,1881,59400,SH,,Other,0,0,59400,01,2006-03-31
Strattec Sec Corp,COM,863111100,608,16300,SH,,Other,0,0,16300,01,2006-03-31
Sun Hydraulics Corp COM 866942105 436 20400 SH,OTher,,,,,,,0,0,20400,01,2006-03-31
Tate & Lyle,PLC,876570607,2949,74450,SH,,Other,0,0,74450,02,2006-03-31
Tel Data Sys Inc,COM,879433860,1414,37450,SH,,Other,0,0,37450,02,2006-03-31
Terex Corp New,COM,880779103,574,7250,SH,,Other,0,0,7250,02,2006-03-31
Triad Hosps Inc,COM,89579K109,939,22400,SH,,Other,0,0,22400,02,2006-03-31
Tyson Foods Inc Cl A,COM,902494103,215,15650,SH,,Other,0,0,15650,02,2006-03-31
Unumprovident Corp,COM,91529Y106,678,33100,SH,,Other,0,0,33100,02,2006-03-31
Visteon Corp,COM,92839U107,955,207550,SH,,Other,0,0,207550,02,2006-03-31
Watson Wyatt Hldgs A,COM,942712100,1531,47000,SH,,Other,0,0,47000,01,2006-03-31
Adv Semiconductor,ADR,00756M404,1218,271212,SH,,Other,0,0,271212,02,2005-12-31
AU Optronics Corp,ADR,002255107,1803,120136,SH,,Other,0,0,120136,02,2005-12-31
Agere Sys A,COM,00845V308,1308,101425,SH,,Other,0,0,101425,02,2005-12-31
Agilent Technologies,COM,00846U101,737,22148,SH,,Other,0,0,22148,02,2005-12-31
Amerisourcebergen,COM,03073E105,1031,24900,SH,,Other,0,0,24900,02,2005-12-31
Amern Woodmark Corp,COM,030506109,759,30600,SH,,Other,0,0,30600,01,2005-12-31
Annaly Mtg Mgmt Inc,COM,035710409,1432,130900,SH,,Other,0,0,130900,02,2005-12-31
AON Corp,COM,037389103,2090,58150,SH,,Other,0,0,58150,02,2005-12-31
Applied Indl Tech,COM,03820C105,334,9900,SH,,Other,0,0,9900,01,2005-12-31
Apt Invt & Mgmt Cl,A,03748R101,583,15400,SH,,Other,0,0,15400,02,2005-12-31
AR Best Corp,COM,040790107,1856,42500,SH,,Other,0,0,42500,01,2005-12-31
Arden Group A,COM,039762109,1374,15100,SH,,Other,0,0,15100,01,2005-12-31
Atrion Corp,COM,049904105,479,6900,SH,,Other,0,0,6900,01,2005-12-31
Avnet Inc,COM,053807103,2176,90875,SH,,Other,0,0,90875,02,2005-12-31
Bandag Inc Cl A,COM,059815308,2019,56000,SH,,Other,0,0,56000,01,2005-12-31
Banta Corp,COM,066821109,2659,53400,SH,,Other,0,0,53400,01,2005-12-31
Bearingpoint Inc,COM,074002106,1253,159450,SH,,Other,0,0,159450,02,2005-12-31
Bio Rad Labs Cl A,COM,090572207,2964,45300,SH,,Other,0,0,45300,01,2005-12-31
Bjs Whsl Club Inc,COM,05548J106,1478,50000,SH,,Other,0,0,50000,01,2005-12-31
Bombardier Inc Cl B,COM,097751200,819,343100,SH,,Other,0,0,343100,02,2005-12-31
Borders Group Inc,COM,099709107,1952,90100,SH,,Other,0,0,90100,01,2005-12-31
Bowl Amer Inc Cl A,COM,102565108,382,28000,SH,,Other,0,0,28000,01,2005-12-31
Brigg & Stratton Corp,COM,109043109,764,19700,SH,,Other,0,0,19700,01,2005-12-31
Cameco Corp,COM,13321L108,1055,16650,SH,,Other,0,0,16650,02,2005-12-31
Carlisle Companies Inc,COM,142339100,1010,14600,SH,,Other,0,0,14600,01,2005-12-31
Carpenter Tech Corp,COM,144285103,1163,16500,SH,,Other,0,0,16500,01,2005-12-31
Cascade Corp,COM,147195101,1745,37200,SH,,Other,0,0,37200,01,2005-12-31
CEC Entmt Inc,COM,125137109,1328,39000,SH,,Other,0,0,39000,01,2005-12-31
Celestica Sub Vtg,COM,15101Q108,1300,123150,SH,,Other,0,0,123150,02,2005-12-31
Claires Stores,COM,179584107,2791,95500,SH,,Other,0,0,95500,01,2005-12-31
Conagra Foods Inc,COM,205887102,360,17750,SH,,Other,0,0,17750,02,2005-12-31
Convergys Corp,COM,212485106,1046,65975,SH,,Other,0,0,65975,02,2005-12-31
CSS Inds Inc,COM,125906107,1844,60000,SH,,Other,0,0,60000,01,2005-12-31
CSX Corp,COM,126408103,2686,52900,SH,,Other,0,0,52900,02,2005-12-31
Cytek Inc,COM,232820100,1119,23500,SH,,Other,0,0,23500,02,2005-12-31
Dean Foods Co,COM,242370104,668,17750,SH,,Other,0,0,17750,02,2005-12-31
Deb Shops Inc,COM,242728103,1822,61300,SH,,Other,0,0,61300,01,2005-12-31
DeVRY Inc Del,COM,251893103,6326,316296,SH,,Sole,316296,0,0,,2005-12-31
Escalade Inc,COM,296056104,571,48500,SH,,Other,0,0,48500,01,2005-12-31
Ethan Allen Int,COM,297602104,1443,39500,SH,,Other,0,0,39500,01,2005-12-31
Forest Cy Ent Inc,,345550107,753,19850,SH,,Other,0,0,19850,02,2005-12-31
Frischs Rstaurnts Inc,COM,358748101,758,31000,SH,,Other,0,0,31000,01,2005-12-31
Gamestop Corp New Cl B,COM,36467W208,1006,34800,SH,,Other,0,0,34800,02,2005-12-31
Genlyte Group Inc,COM,372302109,1607,30000,SH,,Other,0,0,30000,01,2005-12-31
Genworth Finl Inc Cl,A,37247D106,1758,50850,SH,,Other,0,0,50850,02,2005-12-31
Global Imaging Sys Inc,COM,37934A100,1333,38500,SH,,Other,0,0,38500,01,2005-12-31
Goodrich Corp,COM,382388106,2606,63400,SH,,Other,0,0,63400,02,2005-12-31
Gtech Hldgs Corp,COM,400518106,457,14400,SH,,Other,0,0,14400,02,2005-12-31
Hampshire Group LTD,COM,408859106,1904,80000,SH,,Other,0,0,80000,01,2005-12-31
Highwoods Pptys Inc,COM,431284108,1725,60650,SH,,Other,0,0,60650,02,2005-12-31
Hilb Rogal & Hobbs,COM,431294107,1521,39500,SH,,Other,0,0,39500,01,2005-12-31
Hooker Furniture,COM,439038100,1441,84000,SH,,Other,0,0,84000,01,2005-12-31
Host Marriott Corp,COM,44107P104,3979,209950,SH,,Other,0,0,209950,02,2005-12-31
Hudson Cy Bancorp Inc,COM,443683107,386,31832,SH,,Other,0,0,31832,02,2005-12-31
Hughes Sup Inc,COM,444482103,1088,30350,SH,,Other,0,0,30350,02,2005-12-31
Intl Paper Co,COM,460146103,738,21950,SH,,Other,0,0,21950,02,2005-12-31
Intl Rectifier Corp,COM,460254105,1354,42450,SH,,,0,0,42450,02,2005-12-31
Jack In Box Inc,COM,466367109,1048,30000,SH,,Other,0,0,30000,01,2005-12-31
Jones Lang Lasalle,COM,48020Q107,987,19600,SH,,Other,0,0,19600,02,2005-12-31
Kennametal Inc,CAP,489170100,664,13000,SH,,Other,0,0,13000,01,2005-12-31
K Swiss Inc,A,482686102,1298,40000,SH,,Other,0,0,40000,01,2005-12-31
Lakeland Inds,COM,511795106,366,19500,SH,,Other,0,0,19500,01,2005-12-31
Lancaster Colony,COM,513847103,2556,69000,SH,,Other,0,0,69000,01,2005-12-31
Lawson Prods Inc,COM,520776105,2095,55500,SH,,Other,0,0,55500,01,2005-12-31
Lear Corp,COM,521865105,867,30450,SH,,Other,0,0,30450,02,2005-12-31
Liberty Global CL A,COM,530555101,1173,52150,SH,,Other,0,0,52150,02,2005-12-31
Liberty Global CL C,COM,530555309,1130,53300,SH,,Other,0,0,53300,02,2005-12-31
Lubrizol Corp,COM,549271104,2128,49000,SH,,Other,0,0,49000,01,2005-12-31
Lyondell Chem,COM,552078107,1339,56200,SH,,Other,0,0,56200,02,2005-12-31
Macdermid Inc,COM,554273102,1398,50100,SH,,Other,0,0,50100,01,2005-12-31
Met Pro Corp,COM,590876306,1059,89333,SH,,Other,0,0,89333,01,2005-12-31
MFC Ishares Mid Val,FD,464287473,448,3600,SH,,Other,0,0,3600,02,2005-12-31
Mity Enterprises Inc,COM,606850105,508,28500,SH,,Other,0,0,28500,01,2005-12-31
Mosaic Co,COM,61945A107,2135,145900,SH,,Other,0,0,145900,02,2005-12-31
N Fork Bancorp Inc,COM,659424105,2220,81150,SH,,Other,0,0,81150,02,2005-12-31
Natl Beverage Corp,COM,635017106,1008,103200,SH,,Other,0,0,103200,01,2005-12-31
Natl Dentex Corp,COM,63563H109,1177,52200,SH,,Other,0,0,52200,01,2005-12-31
Natl Presto Inds Inc,COM,637215104,2568,57900,SH,,Other,0,0,57900,01,2005-12-31
Navistar Intl,COM,63934E108,2380,83150,SH,,Other,0,0,83150,02,2005-12-31
NCI Bldg Sys Inc,COM,628852105,531,12500,SH,,Other,0,0,12500,01,2005-12-31
Newell Rubbermaid,COM,651229106,650,27350,SH,,Other,0,0,27350,02,2005-12-31
Nordson Corp,COM,655663102,547,13500,SH,,Other,0,0,13500,01,2005-12-31
Owens & Minor Inc,COM,690732102,289,10500,SH,,Other,0,0,10500,01,2005-12-31
